index,YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder
0,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,21.1,,,0.7,19.8,22.4,8368.0,Overall,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,165SSA,1GEN,8AGE,6RAC,6EDU,BRF27,27
1,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,23.5,,,1.1,21.3,25.7,2997.0,Male,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF27,27
2,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Current,%,Percentage,19.0,,,0.8,17.4,20.6,5371.0,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,165SSA,3GEN,8AGE,6RAC,6EDU,BRF27,27
3,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,30.1,,,1.8,26.6,33.6,1490.0,Overall,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF26,26
4,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,29.0,,,2.5,24.0,34.0,613.0,Male,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF26,26
5,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Status,BRFSS,Former,%,Percentage,30.2,,,1.1,28.1,32.3,2997.0,Male,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,165SSA,2GEN,8AGE,6RAC,6EDU,BRF28,28
6,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Some Days,%,Percentage,31.4,,,2.4,26.6,36.2,877.0,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF26,26
7,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,69.9,,,1.8,66.4,73.4,1490.0,Overall,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,1GEN,8AGE,6RAC,6EDU,BRF25,25
8,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,71.0,,,2.5,66.0,76.0,613.0,Male,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,2GEN,8AGE,6RAC,6EDU,BRF25,25
9,2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Smoking Frequency,BRFSS,Every Day,%,Percentage,68.6,,,2.4,63.8,73.4,877.0,Female,All Races,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,166SSP,3GEN,8AGE,6RAC,6EDU,BRF25,25
10,2013-2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,21.9,,,0.6,20.7,23.1,10405.0,Overall,White,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,5RAC,6EDU,BRF34,34
11,2013-2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,15.6,,,3.8,8.1,23.1,131.0,Overall,Hispanic,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,4RAC,6EDU,BRF33,33
12,2013-2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,14.7,,,3.8,7.2,22.2,135.0,Overall,Asian/Pacific Islander,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,3RAC,6EDU,BRF32,32
13,2013-2014,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use (Adults),Current Smoking – (2 yrs – Race/Ethnicity),BRFSS,,%,Percentage,26.9,,,6.3,14.6,39.2,96.0,Overall,American Indian/Alaska Native,All Ages,All Grades,"(32.84057112200048, -86.63186076199969)",BEH,100BEH,112CS2,1GEN,8AGE,2RAC,6EDU,BRF31,31
